Date,High,Low,Open,Close,Volume,Adj Close
2018-08-07,314.0,314.0,314.0,314.0,130300.0,314.0
2018-08-08,314.0,314.0,314.0,314.0,0.0,314.0
2018-08-09,490.0,490.0,490.0,490.0,3176200.0,490.0
2018-08-10,610.0,610.0,610.0,610.0,1616600.0,610.0
2018-08-13,760.0,760.0,760.0,760.0,413600.0,760.0
2018-08-14,950.0,800.0,950.0,935.0,54188000.0,935.0
2018-08-15,935.0,935.0,935.0,935.0,0.0,935.0
2018-08-16,1145.0,935.0,935.0,1100.0,38015100.0,1100.0
2018-08-17,1100.0,1100.0,1100.0,1100.0,0.0,1100.0
2018-08-20,1360.0,1130.0,1150.0,1360.0,31965000.0,1360.0
2018-08-21,1590.0,1370.0,1390.0,1545.0,34139800.0,1545.0
2018-08-22,1545.0,1545.0,1545.0,1545.0,0.0,1545.0
2018-08-23,1545.0,1545.0,1545.0,1545.0,0.0,1545.0
2018-08-24,1545.0,1545.0,1545.0,1545.0,0.0,1545.0
2018-08-27,1545.0,1545.0,1545.0,1545.0,0.0,1545.0
2018-08-28,1545.0,1545.0,1545.0,1545.0,0.0,1545.0
2018-08-29,1545.0,1545.0,1545.0,1545.0,0.0,1545.0
2018-08-30,1545.0,1545.0,1545.0,1545.0,0.0,1545.0
2018-08-31,1545.0,1545.0,1545.0,1545.0,0.0,1545.0
2018-09-03,1545.0,1545.0,1545.0,1545.0,0.0,1545.0
2018-09-04,1545.0,1545.0,1545.0,1545.0,0.0,1545.0
2018-09-05,1545.0,1545.0,1545.0,1545.0,0.0,1545.0
2018-09-06,1545.0,1545.0,1545.0,1545.0,0.0,1545.0
2018-09-07,1545.0,1545.0,1545.0,1545.0,0.0,1545.0
2018-09-10,1545.0,1545.0,1545.0,1545.0,0.0,1545.0
2018-09-11,1545.0,1545.0,1545.0,1545.0,0.0,1545.0
2018-09-12,1545.0,1545.0,1545.0,1545.0,0.0,1545.0
2018-09-13,1545.0,1180.0,1460.0,1230.0,35052900.0,1230.0
2018-09-14,1345.0,1270.0,1280.0,1340.0,13863700.0,1340.0
2018-09-17,1365.0,1180.0,1350.0,1205.0,8193900.0,1205.0
2018-09-18,1205.0,1025.0,1160.0,1110.0,12041000.0,1110.0
2018-09-19,1205.0,1110.0,1115.0,1170.0,5152100.0,1170.0
2018-09-20,1190.0,1125.0,1190.0,1135.0,2863200.0,1135.0
2018-09-21,1320.0,1045.0,1135.0,1285.0,23014700.0,1285.0
2018-09-24,1345.0,1275.0,1285.0,1275.0,21061400.0,1275.0
